id,name,description,price,quantity_in_stock
11111111-0000-0000-0000-000000000001,Laptop A,Basic laptop,55000.00,30
11111111-0000-0000-0000-000000000002,Laptop B,Gaming laptop,120000.00,12
11111111-0000-0000-0000-000000000003,Keyboard Pro,Mechanical keyboard,8900.00,44
11111111-0000-0000-0000-000000000004,Mouse X,Wireless mouse,4500.00,58
11111111-0000-0000-0000-000000000005,Monitor 24,IPS monitor,42000.00,20
11111111-0000-0000-0000-000000000006,Monitor 27,4K display,88000.00,14
11111111-0000-0000-0000-000000000007,USB-C Cable,Fast charge cable,1500.00,80
11111111-0000-0000-0000-000000000008,Desk Lamp,LED lamp,3500.00,36
11111111-0000-0000-0000-000000000009,Office Chair,Ergonomic chair,56000.00,5
11111111-0000-0000-0000-000000000010,Webcam HD,1080p webcam,9900.00,25
11111111-0000-0000-0000-000000000011,SSD 512GB,Fast SSD,21000.00,32
11111111-0000-0000-0000-000000000012,SSD 1TB,High-speed SSD,39000.00,18
11111111-0000-0000-0000-000000000013,RAM 8GB,DDR4 module,12000.00,50
11111111-0000-0000-0000-000000000014,RAM 16GB,DDR4 module,21000.00,40
11111111-0000-0000-0000-000000000015,Power Bank,10000mAh,6000.00,70
11111111-0000-0000-0000-000000000016,Headphones,Foldable headphones,9000.00,48
11111111-0000-0000-0000-000000000017,Earbuds,Bluetooth earbuds,15000.00,34
11111111-0000-0000-0000-000000000018,Smartwatch A,Basic smartwatch,25000.00,20
11111111-0000-0000-0000-000000000019,Smartwatch B,Advanced smartwatch,38000.00,15
11111111-0000-0000-0000-000000000020,Phone Case,Silicone case,1200.00,120
11111111-0000-0000-0000-000000000021,Tablet A,Android tablet,85000.00,10
11111111-0000-0000-0000-000000000022,Tablet B,Premium tablet,140000.00,6
11111111-0000-0000-0000-000000000023,Printer,Inkjet printer,30000.00,12
11111111-0000-0000-0000-000000000024,Router WiFi 5,WiFi router,16000.00,28
11111111-0000-0000-0000-000000000025,Router WiFi 6,High-speed router,26000.00,22
11111111-0000-0000-0000-000000000026,Graphics Tablet,Basic graphics tablet,28000.00,8
11111111-0000-0000-0000-000000000027,External HDD 1TB,USB 3.0 HDD,19000.00,17
11111111-0000-0000-0000-000000000028,External HDD 2TB,USB 3.0 HDD,32000.00,10
11111111-0000-0000-0000-000000000029,Speaker Mini,Portable speaker,7000.00,45
11111111-0000-0000-0000-000000000030,Speaker Pro,Large speaker,22000.00,9
